game_pk,game_date,home_team,away_team,type,play_id,inning,ab_number,cap_index,outs,batter,stand,batter_name,pitcher,p_throws,pitcher_name,team_batting,team_fielding,team_batting_id,team_fielding_id,result,des,events,contextMetrics,strikes,balls,pre_strikes,pre_balls,call,call_name,pitch_call,is_strike_swinging,result_code,pitch_type,pitch_name,description,start_speed,end_speed,sz_top,sz_bot,extension,plateTime,zone,spin_rate,breakX,inducedBreakZ,breakZ,px,pz,pfxX,pfxZ,pfxZWithGravity,pfxXWithGravity,pfxXNoAbs,plateTimeSZDepth,savantIsInZone,isInZone,isSword,is_bip_out,is_abs_challenge,plate_x,plate_z,pitch_number,player_total_pitches,player_total_pitches_pitch_types,pitcher_pa_number,pitcher_time_thru_order,game_total_pitches,batSpeed,hit_distance,xba,is_barrel,hc_x_ft,hc_y_ft,hit_speed,hit_angle,launch_speed,launch_angle,runnerOn1B,runnerOn2B,runnerOn3B,is_last_pitch,double_header,game_number
825107,2026-03-31,AZ,DET,pitch,e0a9fd4c-247c-3897-9aed-2e11dc6ea834,3,26,0,1,606466,L,Ketel Marte,663554,R,Casey Mize,AZ,DET,109,116,Groundout,"Ketel Marte grounds out, second baseman Gleyber Torres to first baseman Spencer Torkelson.",Groundout,,0,2,0,2,B,Ball,ball,False,B,FF,4-Seam Fastball,Ball,93.3,84.4,3.22,1.62,6.81,0.4,11,2306,8.5,18.6,-13.0,-1.2305,4.0714,0.71,1.55,-1.08,0.71,0.71,0.38,False,False,False,True,False,-1.2305,4.0714,3,35,17,11,2,83,,,,,,,,,,,,,,False,N,1
825107,2026-03-31,AZ,DET,pitch,917f077e-61fd-3500-974b-6f4c73c59450,3,26,0,1,606466,L,Ketel Marte,663554,R,Casey Mize,AZ,DET,109,116,Groundout,"Ketel Marte grounds out, second baseman Gleyber Torres to first baseman Spencer Torkelson.",Groundout,,0,3,0,3,S,Strike,called_strike,False,C,FF,4-Seam Fastball,Called Strike,93.3,84.6,3.22,1.62,6.83,0.41,4,2309,9.5,17.8,-14.0,-0.5933,2.6744,0.79,1.48,-1.17,0.79,0.79,0.38,True,True,False,True,False,-0.5933,2.6744,4,36,18,11,2,84,,,,,,,,,,,,,,False,N,1
825107,2026-03-31,AZ,DET,pitch,da207b7b-2bde-3ca2-9621-be856f067832,3,26,0,1,606466,L,Ketel Marte,663554,R,Casey Mize,AZ,DET,109,116,Groundout,"Ketel Marte grounds out, second baseman Gleyber Torres to first baseman Spencer Torkelson.",Groundout,"{""homeRunBallparks"": 0}",1,3,1,3,X,In Play,hit_into_play,False,X,SL,Slider,"In play, out(s)",88.1,81.1,3.22,1.62,7.09,0.43,2,2189,4.9,7.1,-28.1,-0.0887,2.8564,-0.41,0.59,-2.34,4.9,-0.41,0.4,True,True,False,True,False,-0.0887,2.8564,5,37,11,11,2,85,69.4,83.0,0.55,0,69.54,116.49,106.2,3.0,106.2,3.0,,,,True,N,1
825107,2026-03-31,AZ,DET,pitch,e68d1b45-8ebb-3e3b-8f46-2c11f8c4ace3,3,27,0,1,682998,L,Corbin Carroll,663554,R,Casey Mize,AZ,DET,109,116,Walk,Corbin Carroll walks.,Walk,,0,0,0,0,B,Ball,ball,False,B,FF,4-Seam Fastball,Ball,93.7,84.8,3.1,1.57,6.74,0.4,12,2256,8.2,17.2,-14.3,0.4767,3.5212,0.68,1.43,-1.19,0.68,0.68,0.38,False,False,False,False,False,0.4767,3.5212,1,38,19,12,2,86,,,,,,,,,,,,,,False,N,1
825107,2026-03-31,AZ,DET,pitch,bfea45e1-1a36-3fd2-9711-f21a84f9e55e,3,27,0,1,682998,L,Corbin Carroll,663554,R,Casey Mize,AZ,DET,109,116,Walk,Corbin Carroll walks.,Walk,,0,1,0,1,B,Ball,ball,False,B,FS,Splitter,Ball,87.6,79.9,3.1,1.57,6.84,0.43,14,1700,16.3,4.7,-31.3,0.8533,1.1719,1.36,0.39,-2.61,1.36,1.36,0.41,False,False,False,False,False,0.8533,1.1719,2,39,8,12,2,87,,,,,,,,,,,,,,False,N,1
825107,2026-03-31,AZ,DET,pitch,35e390fc-a417-32b0-a479-d7d2d0e4fa44,3,27,0,1,682998,L,Corbin Carroll,663554,R,Casey Mize,AZ,DET,109,116,Walk,Corbin Carroll walks.,Walk,,0,2,0,2,B,Ball,ball,False,B,FS,Splitter,Ball,88.6,81.0,3.1,1.57,6.88,0.43,14,1769,16.9,4.2,-31.1,0.7165,0.3877,1.41,0.35,-2.59,1.41,1.41,0.4,False,False,False,False,False,0.7165,0.3877,3,40,9,12,2,88,,,,,,,,,,,,,,False,N,1
825107,2026-03-31,AZ,DET,pitch,d6a9cafc-15e5-314c-9bca-0abaee28a170,3,27,0,1,682998,L,Corbin Carroll,663554,R,Casey Mize,AZ,DET,109,116,Walk,Corbin Carroll walks.,Walk,,0,3,0,3,B,Ball,ball,False,B,FF,4-Seam Fastball,Ball,93.1,85.1,3.1,1.57,6.83,0.4,11,2297,8.4,17.3,-14.3,-0.3497,3.7599,0.7,1.44,-1.19,0.7,0.7,0.38,False,False,False,False,False,-0.3497,3.7599,4,41,20,12,2,89,,,,,,,,,,,,,,True,N,1
825107,2026-03-31,AZ,DET,pitch,d81dd154-58ca-368e-a7f1-ddf47562db5d,3,28,24,1,672695,L,Geraldo Perdomo,663554,R,Casey Mize,AZ,DET,109,116,GIDP,"Geraldo Perdomo grounds into a double play, second baseman Gleyber Torres to shortstop Kevin McGonigle to first baseman Spencer Torkelson. Corbin Carroll out at 2nd. Geraldo Perdomo out at 1st.",GIDP,,0,0,0,0,S,Strike,called_strike,False,C,SL,Slider,Called Strike,87.0,80.7,3.32,1.67,6.86,0.43,5,2257,5.6,3.6,-32.3,-0.2553,2.3583,-0.47,0.3,-2.69,5.6,-0.47,0.4,True,True,False,False,False,-0.2553,2.3583,1,42,12,13,2,90,,,,,,,,,,,True,,,False,N,1
825107,2026-03-31,AZ,DET,pitch,bf267e29-e00a-3825-a3ad-8fd4cc26ad77,3,28,24,1,672695,L,Geraldo Perdomo,663554,R,Casey Mize,AZ,DET,109,116,GIDP,"Geraldo Perdomo grounds into a double play, second baseman Gleyber Torres to shortstop Kevin McGonigle to first baseman Spencer Torkelson. Corbin Carroll out at 2nd. Geraldo Perdomo out at 1st.",GIDP,,1,0,1,0,S,Strike,called_strike,False,C,SL,Slider,Called Strike,88.0,81.6,3.32,1.67,6.73,0.43,4,2254,3.1,6.2,-28.7,-0.4424,2.8042,-0.26,0.52,-2.39,3.1,-0.26,0.4,True,True,False,False,False,-0.4424,2.8042,2,43,13,13,2,91,,,,,,,,,,,True,,,False,N,1
825107,2026-03-31,AZ,DET,pitch,d5a9d78f-3b5a-30a7-9a2c-890b4b05fd2e,3,28,24,1,672695,L,Geraldo Perdomo,663554,R,Casey Mize,AZ,DET,109,116,GIDP,"Geraldo Perdomo grounds into a double play, second baseman Gleyber Torres to shortstop Kevin McGonigle to first baseman Spencer Torkelson. Corbin Carroll out at 2nd. Geraldo Perdomo out at 1st.",GIDP,"{""homeRunBallparks"": 0}",2,0,2,0,X,In Play,hit_into_play,False,X,FS,Splitter,"In play, out(s)",89.1,82.1,3.32,1.67,6.87,0.42,13,1418,14.8,7.2,-27.2,-0.0589,1.3279,1.23,0.6,-2.27,1.23,1.23,0.4,False,False,False,False,False,-0.0589,1.3279,3,44,10,13,2,92,66.2,8.0,0.05,0,46.33,112.83,72.6,-17.0,72.6,-17.0,True,,,True,N,1
